cod_manzana,score_accesibilidad,score_ambiental,score_socioeconomico,score_seguridad,atlas_score,municipio,moran_i,lisa_q,lisa_p,zona_atlas,quintil
0514710000000000030120,0.16666666666666666,0.35068354741088115,0.5941556537389607,1.0,0.7195942630551858,Carepa,0.7436,4,0.001,HL,Q3-Medio
0514710000000000030634,0.16666666666666666,0.358561560683083,0.5299298824693061,1.0,0.6976123560892025,Carepa,0.7436,4,0.001,HL,Q3-Medio
0514720010700700010130,0.16666666666666666,0.3698578694442769,0.6792083451874049,1.0,0.7602544169836467,Carepa,0.7436,4,0.001,HL,Q4-Alto
0517210000000000010411,0.19047619047619047,0.45785765207569684,0.5465156879617531,1.0,0.7521075822132518,Chigorodó,0.7436,4,0.001,HL,Q4-Alto
0517210000000000010501,0.19047619047619047,0.4603259824582473,0.5465156879617531,1.0,0.7530705062187283,Chigorodó,0.7436,4,0.001,HL,Q4-Alto
0517210000000000020109,0.21428571428571427,0.46464648114178886,0.5465156879617531,1.0,0.7640443507756234,Chigorodó,0.7436,4,0.001,HL,Q4-Alto
0517210000000000020406,0.21428571428571427,0.46877184789941917,0.5465156879617531,1.0,0.7656537036849421,Chigorodó,0.7436,1,0.194,NS,Q5-Óptimo
0517210000000000030202,0.21428571428571427,0.45991076974024003,0.5465156879617531,1.0,0.7621968954172167,Chigorodó,0.7436,4,0.001,HL,Q4-Alto
0517210000000000050523,0.21428571428571427,0.4643744840203681,0.5465156879617531,1.0,0.7639382415774834,Chigorodó,0.7436,4,0.001,HL,Q4-Alto
0517210000000000060114,0.21428571428571427,0.46656554072017264,0.5465156879617531,1.0,0.7647929979377006,Chigorodó,0.7436,4,0.001,HL,Q5-Óptimo
0517210000000000060302,0.21428571428571427,0.46786010089985386,0.5465156879617531,1.0,0.7652980207184279,Chigorodó,0.7436,4,0.001,HL,Q5-Óptimo
0517210000000000060408,0.21428571428571427,0.4692871091028,0.5465156879617531,1.0,0.7658547129928263,Chigorodó,0.7436,4,0.001,HL,Q5-Óptimo
0517210000000000060814,0.21428571428571427,0.4731737787009186,0.5465156879617531,1.0,0.7673709474012517,Chigorodó,0.7436,4,0.001,HL,Q5-Óptimo
0565910000000000010622,0.16666666666666666,0.8555492021820043,0.0,1.0,0.6847612098857503,San Juan de Urabá,0.7436,4,0.001,HL,Q3-Medio
