COD_DANE_A,DPTO_CCDGO,MPIO_CCDGO,MPIO_CDPMP,CLAS_CCDGO,SETR_CCDGO,SETR_CCNCT,SECR_CCDGO,SECR_CCNCT,ZU_CCDGO,ZU_CDIVI,SETU_CCDGO,SETU_CCNCT,SECU_CCDGO,SECU_CCNCT,MANZ_CCDGO,AG_CCDGO,DATO_ANM,VERSION,AREA,LATITUD,LONGITUD,DENSIDAD,CTNENCUEST,TP3_1_SI,TP3_2_NO,TP3A_RI,TP3B_TCN,TP4_1_SI,TP4_2_NO,TP9_1_USO,TP9_2_USO,TP9_3_USO,TP9_4_USO,TP9_2_1_MI,TP9_2_2_MI,TP9_2_3_MI,TP9_2_4_MI,TP9_2_9_MI,TP9_3_1_NO,TP9_3_2_NO,TP9_3_3_NO,TP9_3_4_NO,TP9_3_5_NO,TP9_3_6_NO,TP9_3_7_NO,TP9_3_8_NO,TP9_3_9_NO,TP9_3_10_N,TP9_3_99_N,TVIVIENDA,TP14_1_TIP,TP14_2_TIP,TP14_3_TIP,TP14_4_TIP,TP14_5_TIP,TP14_6_TIP,TP15_1_OCU,TP15_2_OCU,TP15_3_OCU,TP15_4_OCU,TP16_HOG,TP19_EE_1,TP19_EE_2,TP19_EE_E1,TP19_EE_E2,TP19_EE_E3,TP19_EE_E4,TP19_EE_E5,TP19_EE_E6,TP19_EE_E9,TP19_ACU_1,TP19_ACU_2,TP19_ALC_1,TP19_ALC_2,TP19_GAS_1,TP19_GAS_2,TP19_GAS_9,TP19_RECB1,TP19_RECB2,TP19_INTE1,TP19_INTE2,TP19_INTE9,TP27_PERSO,PERSONAS_L,PERSONAS_S,TP32_1_SEX,TP32_2_SEX,TP34_1_EDA,TP34_2_EDA,TP34_3_EDA,TP34_4_EDA,TP34_5_EDA,TP34_6_EDA,TP34_7_EDA,TP34_8_EDA,TP34_9_EDA,TP51PRIMAR,TP51SECUND,TP51SUPERI,TP51POSTGR,TP51_13_ED,TP51_99_ED,CD_LC_CM,NMB_LC_CM,TP_LC_CM,Shape_Leng,Shape_Area
0549020120301400010104,05,490,05490,2,012,054902012,03,05490201203,014,05490014,0001,054902012030140001,01,05490201203014000101,04,226795,MANZANA,2018.0,821.874418433,8.42780058021,-76.6537178511,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0011540223355,6.73451203447e-08
0549020120301400010105,05,490,05490,2,012,054902012,03,05490201203,014,05490014,0001,054902012030140001,01,05490201203014000101,05,226796,MANZANA,2018.0,996.707754296,8.42804665244,-76.6539697993,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.00113838992636,8.16709575491e-08
0549020120301400010106,05,490,05490,2,012,054902012,03,05490201203,014,05490014,0001,054902012030140001,01,05490201203014000101,06,226791,MANZANA,2018.0,9459.57106505,8.42817842634,-76.654942991,0.0035942433,16.0,0.0,16.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,4.0,11.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,0.0,11.0,0.0,11.0,0.0,34.0,0.0,34.0,22.0,12.0,8.0,7.0,7.0,3.0,3.0,3.0,1.0,1.0,1.0,12.0,11.0,0.0,0.0,5.0,0.0,,,,0.00522796745914,7.75124142261e-07
0549020120301400010107,05,490,05490,2,012,054902012,03,05490201203,014,05490014,0001,054902012030140001,01,05490201203014000101,07,226792,MANZANA,2018.0,4892.40787849,8.42761301788,-76.6542605865,0.0028615766,8.0,0.0,8.0,0.0,0.0,0.0,8.0,2.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,14.0,0.0,14.0,6.0,8.0,2.0,3.0,4.0,0.0,1.0,2.0,1.0,0.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,,,,0.00379626294852,4.00886820764e-07
0549020120301400010108,05,490,05490,2,012,054902012,03,05490201203,014,05490014,0001,054902012030140001,01,05490201203014000101,08,226793,MANZANA,2018.0,10939.2073052,8.42589372418,-76.6527882593,0.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.00560978105209,8.96364182533e-07
0549020120301400010109,05,490,05490,2,012,054902012,03,05490201203,014,05490014,0001,054902012030140001,01,05490201203014000101,09,226790,MANZANA,2018.0,6247.98099774,8.42723641758,-76.6562293116,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.00433810131225,5.11961648965e-07
0549020090501500010101,05,490,05490,2,009,054902009,05,05490200905,015,05490015,0001,054902009050150001,01,05490200905015000101,01,226827,MANZANA,2018.0,3626.63705205,8.45913390312,-76.5632792444,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.00268569953945,2.97233824959e-07
0549020090501500010102,05,490,05490,2,009,054902009,05,05490200905,015,05490015,0001,054902009050150001,01,05490200905015000101,02,226819,MANZANA,2018.0,6024.88468362,8.45863038069,-76.5631869925,0.0019917394,8.0,0.0,8.0,0.0,0.0,0.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,12.0,0.0,12.0,5.0,7.0,2.0,1.0,0.0,3.0,1.0,3.0,1.0,1.0,0.0,7.0,1.0,0.0,0.0,3.0,0.0,,,,0.00285439713604,4.93790227017e-07
0549020090501500010103,05,490,05490,2,009,054902009,05,05490200905,015,05490015,0001,054902009050150001,01,05490200905015000101,03,226824,MANZANA,2018.0,14027.9444275,8.45786424514,-76.5631492787,0.0023524473,14.0,0.0,14.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,33.0,0.0,33.0,19.0,14.0,9.0,5.0,7.0,3.0,4.0,1.0,4.0,0.0,0.0,15.0,11.0,1.0,0.0,2.0,0.0,,,,0.00613967034876,1.14970633849e-06
0549020090501500010104,05,490,05490,2,009,054902009,05,05490200905,015,05490015,0001,054902009050150001,01,05490200905015000101,04,226820,MANZANA,2018.0,6547.4434747,8.45806084639,-76.5637189149,0.0044292097,11.0,0.0,11.0,0.0,0.0,0.0,11.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,0.0,9.0,0.0,9.0,0.0,29.0,0.0,29.0,14.0,15.0,6.0,11.0,2.0,7.0,2.0,0.0,0.0,1.0,0.0,10.0,14.0,0.0,1.0,2.0,0.0,,,,0.00300242656877,5.36617067691e-07
